Gene,EntrezID,UNIPROT,3250_overlap,protein_rank_3250,protein_rank_3250_rev,Concentration(ng/L),number of EXPERIMENT,Median
C20orf27,54976,Q9GZN8,P,412,2839,140,21,2736726.531
NUDCD1,84955,Q96RS6,P,413,2838,7.3,15,41168672.5
MAGED2,10916,Q9UNF1,P,414,2837,120,20,23954209.99
TOMM40,10452,O96008,P,415,2836,45,13,3454549.734
GARS1,2617,P41250,P,417,2834,560,35,145651884.8
RFC5,5985,P40937,P,420,2831,6.5,23,25719010.9
FAT1,2195,Q14517,P,422,2829,4600,26,35410500.67
DSP,1832,P15924,P,423,2828,100000,36,41343239.83
PSMB8,5696,P28062,P,425,2826,2700,32,265383268.4
GOLPH3,64083,Q9H4A6,P,427,2824,23,18,56937208
TOR1A,1861,O14656,P,428,2823,20,19,4702287.25
XPOT,11260,O43592,P,429,2822,9.8,19,75612013.71
DDX23,9416,Q9BUQ8,P,430,2821,21,21,21458466.5
ABRACL,58527,Q9P1F3,P,435,2816,9200,18,25488774.78
SNRPD1,6632,P62314,P,438,2813,480,26,137822396.3
CCDC80,151887,Q76M96,P,439,2812,510,18,26864457.5
CKAP5,9793,Q14008,P,443,2808,360,34,29731830.59
NEU1,4758,Q99519,P,445,2806,180,11,40815636.48
COPA,1314,P53621,P,448,2803,150,33,325941029
ADRM1,11047,Q16186,P,450,2801,28,28,71305736
PLXND1,23129,Q9Y4D7,P,459,2792,120000,22,27322870.5
CIAPIN1,57019,Q6FI81,P,460,2791,21,14,4205464.063
SHMT2,6472,P34897,P,462,2789,390,28,43480759.75
SRRM2,23524,Q9UQ35,P,464,2787,17,19,14306702.38
EFTUD2,9343,Q15029,P,466,2785,94,28,244521778.7
SF3B6,51639,Q9Y3B4,P,467,2784,11,12,92257223.96
CYRIB,51571,Q9NUQ9,P,470,2781,1100,41,35433510.13
G3BP1,10146,Q13283,P,471,2780,280,28,116054935
PFDN4,5203,Q9NQP4,P,472,2779,220,20,51935162
NRBP1,29959,Q9UHY1,P,478,2773,39,15,31424892.95
BPNT2,54928,Q9NX62,P,479,2772,480,20,40890176.55
DARS1,1615,P14868,P,482,2769,210,38,234216847.1
NAA15,80155,Q9BXJ9,P,490,2761,140,26,100959880.3
CD276,80381,Q5ZPR3,P,494,2757,16000,27,51859434.25
PPID,5481,Q08752,P,495,2756,480,24,33087233.34
NNMT,4837,P40261,P,499,2752,410,17,413788378.6
SF3A2,8175,Q15428,P,506,2745,43,19,14788277.5
MCM3,4172,P25205,P,507,2744,150,18,58961477.5
ARL1,400,P40616,P,509,2742,13,29,81885676.03
NAGLU,4669,P54802,P,510,2741,270000,13,7642572.938
FKBP9,11328,O95302,P,517,2734,63,16,19664930.38
NRP1,8829,O14786,P,521,2730,780000,29,43158230.28
PTPRJ,5795,Q12913,P,523,2728,670000,26,32103096.54
AIMP2,7965,Q13155,P,525,2726,35,28,114543843.5
SNRNP200,23020,O75643,P,527,2724,78,29,158181995.1
NUDCD2,134492,Q8WVJ2,P,528,2723,18,18,39874863.13
NUDT16,131870,Q96DE0,P,529,2722,38,12,25222506.5
ACSL4,2182,O60488,P,533,2718,16,24,32254162.59
SEC23B,10483,Q15437,P,535,2716,16,24,91817694.9
COPG1,22820,Q9Y678,P,536,2715,57,29,170473935.5
GALNS,2588,P34059,P,541,2710,2000,6,22433633.5
SF3B3,23450,Q15393,P,542,2709,50,30,111306003.9
TOP1,7150,P11387,P,544,2707,7.6,28,176682011.4
USP9X,8239,Q93008,P,548,2703,24,35,71577641.57
IARS1,3376,P41252,P,550,2701,100,36,162655736.8
IPO7,10527,O95373,P,551,2700,220,29,76410106.65
ABCF2,10061,Q9UG63,P,552,2699,51,19,57135712.44
RCC2,55920,Q9P258,P,553,2698,110,19,142157821
LARP1,23367,Q6PKG0,P,554,2697,12,11,16387011.81
GCN1,10985,Q92616,P,555,2696,120,24,62156119.25
FAF2,23197,Q96CS3,P,559,2692,12,12,26368337.13
IDE,3416,P14735,P,560,2691,310,26,21479604.25
TAOK1,57551,Q7L7X3,P,561,2690,1600,23,29659275.69
IPO9,55705,Q96P70,P,563,2688,70,21,13463043.48
HEATR5B,54497,Q9P2D3,P,564,2687,6.8,14,8641226.406
STT3B,201595,Q8TCJ2,P,567,2684,17,14,28874785.5
CDV3,55573,Q9UKY7,P,569,2682,1100,20,42332017.53
FCER1G,2207,P30273,P,574,2677,270,7,111971108
PABPC1,26986,P11940,P,575,2676,3900,28,94634620
SNRPA1,6627,P09661,P,576,2675,48,11,57726187.06
SF1,7536,Q15637,P,577,2674,130,18,23480275
CANT1,124583,Q8WVQ1,P,578,2673,3300,20,36215022.75
LRPPRC,10128,P42704,P,579,2672,210,29,13927271.8
SCAMP3,10067,O14828,P,580,2671,75,15,61457692.42
EIF4G3,8672,O43432,P,583,2668,68,22,79290150.83
COPB1,1315,P53618,P,585,2666,330,40,227916378.7
SCAMP2,10066,O15127,P,590,2661,71,18,70421659.47
DKC1,1736,O60832,P,593,2658,34,17,113305044.8
GLB1,2720,P16278,P,596,2655,2700,15,129388714.9
BUB3,9184,O43684,P,597,2654,39,27,180537048
HSPA13,6782,P48723,P,601,2650,3300,18,122189821.3
MTA2,9219,O94776,P,602,2649,10,22,45305999.63
TBCD,6904,Q9BTW9,P,605,2646,6.2,28,38534634.75
PSMD13,5719,Q9UNM6,P,607,2644,81,39,215010578.3
DNAJB11,51726,Q9UBS4,P,608,2643,100,19,26190225.83
XPO1,7514,O14980,P,609,2642,410,34,156887041.3
CPOX,1371,P36551,P,616,2635,170,14,19633823.33
SF3B1,23451,O75533,P,617,2634,94,25,156908470.7
EIF2B2,8892,P49770,P,620,2631,12,17,30815230.38
DNAJC7,7266,Q99615,P,622,2629,22,20,27985326.75
METAP1,23173,P53582,P,623,2628,8.9,2,66555438.17
SMARCC1,6599,Q92922,P,624,2627,31,14,28844651.5
RIC8A,60626,Q9NPQ8,P,625,2626,10,26,38952639.23
AGO2,27161,Q9UKV8,P,626,2625,65,10,17049792.75
SEC24B,10427,O95487,P,629,2622,14,16,29471590.25
VPS28,51160,Q9UK41,P,631,2620,63,35,29487525.06
EIF4G2,1982,P78344,P,634,2617,48,17,25333644.65
MAP2K3,5606,P46734,P,640,2611,28,20,22372922.42
ERBIN,55914,Q96RT1,P,641,2610,39,24,19828635.78
CTBP2,1488,P56545,P,642,2609,10,15,59928013.25
LRP1,4035,Q07954,P,644,2607,180000,31,104062825
GFPT1,2673,Q06210,P,645,2606,93,30,157538526
RUFY1,80230,Q96T51,P,646,2605,25,18,27826686.51
SRPRA,6734,P08240,P,648,2603,19,9,54541666.4
COL5A1,1289,P20908,P,650,2601,15000,14,71076240.7
LSM3,27258,P62310,P,653,2598,30,13,161558790.9
CBX3,11335,Q13185,P,655,2596,180,30,114369993.9
MTREX,23517,P42285,P,660,2591,13,15,64273149.67
ZFR,51663,Q96KR1,P,662,2589,8.1,10,54984481.5
ERO1A,30001,Q96HE7,P,667,2584,110,26,46586925.75
EIF3M,10480,Q7L2H7,P,669,2582,130,39,107361002
SFXN1,94081,Q9H9B4,P,671,2580,23,11,14497969.98
MYOF,26509,Q9NZM1,P,673,2578,190,40,118264250.3
MARS1,4141,P56192,P,674,2577,23,30,128304378.1
PRPF31,26121,Q8WWY3,P,675,2576,13,13,70949061.08
ADGRE5,976,P48960,P,677,2574,2400,27,30079017.77
NMT1,4836,P30419,P,680,2571,94,23,103869808
SF3B4,10262,Q15427,P,684,2567,36,15,14604155
RPS28,6234,P62857,P,686,2565,730,22,127437820.6
FUS,2521,P35637,P,687,2564,480,17,46820582.81
NOLC1,9221,Q14978,P,691,2560,44,16,27815084.5
GMPS,8833,P49915,P,693,2558,50,30,117781964.5
B3GAT3,26229,O94766,P,696,2555,990,15,34030839
NPLOC4,55666,Q8TAT6,P,700,2551,30,18,60220855.33
KIF5B,3799,P33176,P,705,2546,97,37,121835109
MAPK14,1432,Q16539,P,707,2544,970,10,45213569
EIF2A,83939,Q9BY44,P,709,2542,16,18,140859466.4
UPF1,5976,Q92900,P,712,2539,19,30,78963219.56
PDAP1,11333,Q13442,P,714,2537,410,8,3630313.563
ITGA4,3676,P13612,P,715,2536,120,11,20262082.25
THBS2,7058,P35442,P,719,2532,21000,24,239275233.3
LUC7L3,51747,O95232,P,720,2531,15,15,19010819.25
GSDMD,79792,P57764,P,721,2530,11,14,50441958.96
RBBP7,5931,Q16576,P,723,2528,140,24,131644055.8
SAFB2,9667,Q14151,P,725,2526,48,8,6517488.25
SAFB,6294,Q15424,P,726,2525,67,2,7690782.391
KIF2A,3796,O00139,P,728,2523,300,18,9186205.5
YBX1,4904,P67809,P,729,2522,1600,27,28942324
AMPD3,272,Q01432,P,730,2521,77,1,42616243.99
SNAPIN,23557,O95295,P,731,2520,20,13,36917541.06
UBR4,23352,Q5T4S7,P,737,2514,15,45,60071131.79
ADSS2,159,P30520,P,738,2513,690,35,36145537.46
CYFIP1,23191,Q7L576,P,740,2511,1100,37,120765490.4
YBX3,8531,P16989,P,744,2507,230,17,27148023.2
COPS7B,64708,Q9H9Q2,P,746,2505,44,14,36752398.75
AP1G1,164,O43747,P,748,2503,62,33,27955119.88
PGM2L1,283209,Q6PCE3,P,749,2502,140,18,55730742
PMM2,5373,O15305,P,750,2501,21,23,99780803.21
DDX46,9879,Q7L014,P,754,2497,13,17,54618007
NECTIN2,5819,Q92692,P,755,2496,5900,31,13496376.81
PYGL,5836,P06737,P,757,2494,16000,33,342495347.8
ECPAS,23392,Q5VYK3,P,764,2487,5.4,38,49919816.83
EHBP1L1,254102,Q8N3D4,P,766,2485,110,18,9186650.063
LSM2,57819,Q9Y333,P,767,2484,97,12,90855434.5
SLC39A14,23516,Q15043,P,770,2481,1100,22,76422493.25
DTYMK,1841,P23919,P,771,2480,7,31,25063355.63
JUP,3728,P14923,P,772,2479,64000,40,118503533
TMED10,10972,P49755,P,773,2478,220,30,87305523.81
THOP1,7064,P52888,P,774,2477,2000,20,20299283.63
DHX9,1660,Q08211,P,775,2476,360,39,277764608.3
VCAN,1462,P13611,P,778,2473,12000,21,334662404
TYMP,1890,P19971,P,782,2469,11000,14,322133709
CSE1L,1434,P55060,P,783,2468,320,34,129784612.3
TOMM34,10953,Q15785,P,786,2465,26,27,62099751.79
UBA5,79876,Q9GZZ9,P,787,2464,43,9,54994070
CUL4A,8451,Q13619,P,788,2463,44,34,63929434.06
TM9SF3,56889,Q9HD45,P,789,2462,240,16,82739451.42
EIF2S2,8894,P20042,P,790,2461,480,29,88191480.1
SSRP1,6749,Q08945,P,791,2460,42,28,78715128.46
THRAP3,9967,Q9Y2W1,P,792,2459,59,18,106010710.3
LYN,4067,P07948,P,793,2458,770,33,97196416.71
UBA2,10054,Q9UBT2,P,794,2457,130,23,91454420.59
RAB32,10981,Q13637,P,795,2456,63,18,28737465.75
EPS15,2060,P42566,P,796,2455,65,10,12665649.96
TUBB6,84617,Q9BUF5,P,797,2454,52000,29,2646548330
GNAI3,2773,P08754,P,798,2453,1400,41,472564938.3
PARP1,142,P09874,P,799,2452,150,37,82169171.27
SMU1,55234,Q2TAY7,P,801,2450,25,19,90014943.88
PECAM1,5175,P16284,P,802,2449,110000,10,36695303.69
TARS1,6897,P26639,P,804,2447,580,42,71391328.58
CEMIP2,23670,Q9UHN6,P,806,2445,150,29,16969116
PPME1,51400,Q9Y570,P,807,2444,45,15,45604744.69
PDXDC1,23042,Q6P996,P,808,2443,9.6,3,69708851.5
COL3A1,1281,P02461,P,809,2442,32000,5,16211861.74
ATG7,10533,O95352,P,811,2440,33,11,70552714.79
LARS1,51520,Q9P2J5,P,813,2438,110,38,120678602.8
H1-5,3009,P16401,P,814,2437,2300,32,683129365.4
HK2,3099,P52789,P,817,2434,100,15,70566748.33
PSMD11,5717,O00231,P,818,2433,95,55,189229210.4
HDAC2,3066,Q92769,P,820,2431,25,17,127833500.5
PCNA,5111,P12004,P,821,2430,170,27,125693280
RAB3GAP1,22930,Q15042,P,824,2427,6.3,15,32991094.52
SRP68,6730,Q9UHB9,P,828,2423,23,30,97673967.91
PRPSAP1,5635,Q14558,P,830,2421,24,19,25722003.23
PFKP,5214,Q01813,P,833,2418,1900,34,148925746.7
IGFBP7,3490,Q16270,P,835,2416,190000,8,13588660.58
SUPT16H,11198,Q9Y5B9,P,837,2414,27,20,103785225.8
LAMTOR1,55004,Q6IAA8,P,839,2412,160,16,44463818.5
SRSF7,6432,Q16629,P,840,2411,1300,34,105354393.5
PDCD6,10016,O75340,P,841,2410,1800,32,127336548.5
HUWE1,10075,Q7Z6Z7,P,842,2409,73,36,54067419.42
EPRS1,2058,P07814,P,843,2408,360,48,218342573
COPB2,9276,P35606,P,845,2406,63,31,337971233.1
EIF3D,8664,O15371,P,846,2405,36,25,166759175.3
PSMD14,10213,O00487,P,851,2400,26,24,140220896
PSMD6,9861,Q15008,P,857,2394,120,42,153471846.8
CARM1,10498,Q86X55,P,859,2392,19,19,37316390.88
ALDOC,230,P09972,P,861,2390,150000,28,152367020.1
RAP2B,5912,P61225,P,864,2387,160,38,84964322.75
EEF1E1,9521,O43324,P,865,2386,18,24,134910174
NUP210,23225,Q8TEM1,P,867,2384,78,14,10052553.89
AP3B1,8546,O00203,P,868,2383,38,26,89716051.96
UBE2L6,9246,O14933,P,874,2377,15,12,263889958.6
FHOD1,29109,Q9Y613,P,875,2376,1300,4,15706645.38
EXOC4,60412,Q96A65,P,879,2372,10,27,31670184.05
TUBB3,10381,Q13509,P,880,2371,89000,38,3464964155
PTBP1,5725,P26599,P,884,2367,4500,26,81902614.56
S100A11,6282,P31949,P,885,2366,7900,28,623069662.9
PPP1CA,5499,P62136,P,888,2363,3600,32,334290376.1
NEO1,4756,Q92859,P,889,2362,390000,6,32867017
RBM3,5935,P98179,P,890,2361,130,15,54625227.25
TBXAS1,6916,P24557,P,892,2359,890,7,34458772.43
HTT,3064,P42858,P,893,2358,36,18,21314944.21
ANTXR1,84168,Q9H6X2,P,894,2357,11000,19,15933995.34
UGGT1,56886,Q9NYU2,P,897,2354,4000,29,17948409.88
STXBP2,6813,Q15833,P,902,2349,870,15,45978228.31
CSK,1445,P41240,P,905,2346,150,27,69548256.85
AGPS,8540,O00116,P,907,2344,69,10,9422608.934
SNU13,4809,P55769,P,908,2343,28,24,252287087.5
TRIM28,10155,Q13263,P,909,2342,140,17,215961115.2
SLC25A13,10165,Q9UJS0,P,912,2339,21,17,2520673.008
ATP6AP1,537,Q15904,P,914,2337,700,19,19387282
STT3A,3703,P46977,P,916,2335,23,16,12752980.5
CDH13,1012,P55290,P,923,2328,240000,7,18939027.25
COL5A2,1290,P05997,P,926,2325,820,16,176631242
SSR4,6748,P51571,P,928,2323,110,23,80001962
ITGB5,3693,P18084,P,932,2319,64,28,37954064.07
SPECC1,92521,Q5M775,P,933,2318,9.8,2,10981432.72
TOR1B,27348,O14657,P,934,2317,140,18,35848668.67
STK4,6789,Q13043,P,935,2316,45,15,27557816.48
SRSF5,6430,Q13243,P,938,2313,23,18,85302053.63
VWA1,64856,Q6PCB0,P,939,2312,250,19,26946365.88
PTPRG,5793,P23470,P,942,2309,520000,22,31547124
DNAJC3,5611,Q13217,P,943,2308,4900,13,15373793.5
SF3A3,10946,Q12874,P,945,2306,57,26,39277996
DDX6,1656,P26196,P,946,2305,19,18,81671948.33
GIPC1,10755,O14908,P,949,2302,11,21,35836848.69
RPS25,6230,P62851,P,953,2298,150,30,188500748.1
GPC1,2817,P35052,P,954,2297,9500,31,40116662.3
UBE2I,7329,P63279,P,956,2295,130,12,57809702.75
EMILIN2,84034,Q9BXX0,P,961,2290,840,19,25565570.75
BASP1,10409,P80723,P,963,2288,63000,22,142352752.8
ARF4,378,P18085,P,965,2286,3100,32,225783873.7
ZMPSTE24,10269,O75844,P,967,2284,50,9,14987846.03
HTRA2,27429,O43464,P,968,2283,260,14,64063675.06
ENG,2022,P17813,P,969,2282,280000,15,40168135.88
DPY30,84661,Q9C005,P,977,2274,29,15,36614445.72
DHX15,1665,O43143,P,978,2273,130,22,186643891.5
UCHL5,51377,Q9Y5K5,P,979,2272,18,16,45184744.66
LTBP1,4052,Q14766,P,980,2271,96000,12,24174771
WDR61,80349,Q9GZS3,P,981,2270,28,13,74376781.86
PTTG1IP,754,P53801,P,982,2269,26,21,22012795.38
RAD50,10111,Q92878,P,984,2267,12,16,66877954.74
TXNDC12,51060,O95881,P,988,2263,160,7,26492879.06
CKAP4,10970,Q07065,P,990,2261,560,26,30952223.5
MCAM,4162,P43121,P,993,2258,1900000,28,27486941.61
TPR,7175,P12270,P,996,2255,30000,14,20262488.38
C1S,716,P09871,P,999,2252,14000000,14,82417487.96
KDM1A,23028,O60341,P,1000,2251,7.7,13,32159261
ACTBL2,345651,Q562R1,P,1001,2250,830000,43,8385635981
NONO,4841,Q15233,P,1005,2246,450,22,314875343
EMC1,23065,Q8N766,P,1006,2245,14,14,14359672
EIF4B,1975,P23588,P,1011,2240,340,16,23474242.61
RARS1,5917,P54136,P,1012,2239,74,36,199357325.1
PPIL3,53938,Q9H2H8,P,1013,2238,120,17,41403468.09
G3BP2,9908,Q9UN86,P,1015,2236,47,17,121626070.9
EIF4A3,9775,P38919,P,1016,2235,280,32,425349186.7
HNRNPM,4670,P52272,P,1018,2233,440,26,141047508.5
MYG1,60314,Q9HB07,P,1019,2232,20,21,42961613.19
CD58,965,P19256,P,1020,2231,6500,22,16078966.5
RBM39,9584,Q14498,P,1021,2230,19,21,56083976.78
ABCF1,23,Q8NE71,P,1022,2229,490,17,55645158.31
DNAJC9,23234,Q8WXX5,P,1023,2228,39,16,30553336
PLEKHO2,80301,Q8TD55,P,1027,2224,200,10,31918323.13
RPL35A,6165,P18077,P,1028,2223,11,25,175052007
AKAP13,11214,Q12802,P,1031,2220,14,7,26600504.63
PTK7,5754,Q13308,P,1033,2218,12000,34,59135536.25
HSPBP1,23640,Q9NZL4,P,1034,2217,19,15,21691744.88
KPNA4,3840,O00629,P,1035,2216,110,21,35512686.38
IPO5,3843,O00410,P,1038,2213,790,32,43895425.31
SNRNP70,6625,P08621,P,1040,2211,74,24,123634148.4
GNPDA2,132789,Q8TDQ7,P,1045,2206,820,12,22105415.38
PRPF19,27339,Q9UMS4,P,1046,2205,71,21,286671930.6
IFI35,3430,P80217,P,1047,2204,120,18,34393019.68
SERPINA4,5267,P29622,P,1055,2196,14000000,1,16296785.97
LRRC59,55379,Q96AG4,P,1056,2195,740,22,107239581.5
UNC13D,201294,Q70J99,P,1059,2192,1500,14,41770814
PSMC5,5705,P62195,P,1062,2189,120,38,176883205.8
PFDN6,10471,O15212,P,1063,2188,89,11,29993606.34
GNPNAT1,64841,Q96EK6,P,1064,2187,72,27,132358227.6
NASP,4678,P49321,P,1065,2186,170,15,96253159.03
AP2B1,163,P63010,P,1072,2179,380,32,125226555.6
TMEM43,79188,Q9BTV4,P,1075,2176,34,20,29420663.88
PFDN5,5204,Q99471,P,1077,2174,110,19,14777666.17
TSNAX,7257,Q99598,P,1078,2173,36,18,28759814.08
ME2,4200,P23368,P,1079,2172,84,14,31530826.88
RBM8A,9939,Q9Y5S9,P,1080,2171,100,14,30509441
USP7,7874,Q93009,P,1084,2167,16,38,73807828.04
PRPS1,5631,P60891,P,1087,2164,320,28,84125808.25
MGAT1,4245,P26572,P,1088,2163,12000,8,33324045.52
RPA3,6119,P35244,P,1089,2162,17,12,148930128
IGF2R,3482,P11717,P,1096,2155,190000,28,34621072.08
RPL38,6169,P63173,P,1097,2154,180,22,89766526
SRRT,51593,Q9BXP5,P,1099,2152,32,22,70218256.5
SLIRP,81892,Q9GZT3,P,1100,2151,32,16,31477740.75
BOLA2,552900,Q9H3K6,P,1101,2150,390,20,74538283.17
BOLA2B,654483,Q9H3K6,NA,1101,2150,390,3,74538283.17
AP3D1,8943,O14617,P,1102,2149,28,28,86234329.25
RBM14,10432,Q96PK6,NA,1103,2148,31,1,56259687.63
EIF3F,8665,O00303,P,1104,2147,83,33,78012079.41
RPL27A,6157,P46776,P,1107,2144,89,31,140992105.3
MAVS,57506,Q7Z434,P,1109,2142,600,15,22065133.79
UBA6,55236,A0AVT1,P,1110,2141,12,34,104294762.7
RCN2,5955,Q14257,P,1113,2138,92,9,29888718.72
MCTS1,28985,Q9ULC4,P,1115,2136,160,19,79246998.38
AIMP1,9255,Q12904,P,1118,2133,35,31,119163022.1
TTLL12,23170,Q14166,P,1120,2131,140,28,102968818.7
SNRPD3,6634,P62318,P,1121,2130,290,28,54306527.25
DPM3,54344,Q9P2X0,P,1123,2128,290,13,44138041.25
PSMD12,5718,O00232,P,1125,2126,73,28,142426362.2
CALU,813,O43852,P,1126,2125,21000,19,32712639
